date,flow,power,sludge_wet,sludge_moisture,chemical,pac,pam,mlss,power_rate,chemical_rate,ss_in,ss_out,bod_in,bod_out,cod_in,cod_out,cod_reduction,ph_in,ph_out,tn_in,tn_out,tp_in,tp_out,nh3_in,nh3_out,nh3_reduction,color_in,color_out,carbon,month,month_sin,month_cos,doy_sin,doy_cos,dow_sin,dow_cos
2021-01-01,16851.0,5346.0,5.9,75.0,8.9,600.0,16.2,4324.0,1.5,127.0,5.0,67.5,4.2,146.6,11.2,2281.6,7.29,22.05,8.13,1.65,0.18,14.91,0.22,247.54,512.0,0.8587,0.2724236069076019,1.54,0.3323610586908789,1,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,-0.433883739117558,-0.9009688679024191
2021-01-02,15871.0,5035.0,5.85,75.0,8.8,562.5,15.25,4283.5,1.5,129.25,5.25,66.05,4.4,158.3,11.0,2326.1,7.25,22.545,8.120000000000001,1.7,0.16499999999999998,15.120000000000001,0.24,235.975,512.0,0.8587,0.27241819657716404,1.54,0.33211454317929884,1,0.49999999999999994,0.8660254037844387,0.02579981801593426,0.9996301267810166,-0.7044058256496908,-0.5617449009293669
2021-01-03,15845.666666666666,5027.0,6.616666666666667,75.0,9.950000000000001,558.3333333333334,15.166666666666666,4386.333333333333,1.5,128.0,5.0,64.16666666666667,4.2,158.70000000000002,10.833333333333334,2335.233333333333,7.293333333333333,22.08,8.126666666666667,1.6633333333333333,0.17666666666666667,14.816666666666668,0.24,230.87,512.0,0.8587,0.2724203129655505,1.54,0.3314961299785597,1,0.49999999999999994,0.8660254037844387,0.03439466763375896,0.9993096312833444,-0.7302143779224705,-0.16666666666666677
2021-01-04,16368.5,5192.75,7.5875,75.0,11.4125,581.25,15.7,4372.5,1.5,125.25,5.25,60.8,4.35,145.4,11.05,2172.05,7.295,21.7125,8.2925,1.62,0.165,14.475,0.22,232.7475,512.0,0.8587,0.27241473575555053,1.54,0.3320987797607777,1,0.49999999999999994,0.8660254037844387,0.04298485284560408,0.9988906101755195,-0.5476607834418529,0.12499999999999992
2021-01-05,16915.8,5366.4,7.35,75.0,11.05,600.0,16.14,4398.4,1.5,125.1,5.5,59.98,4.4799999999999995,138.95999999999998,11.1,2127.0,7.3,21.375999999999998,8.116,1.6039999999999999,0.162,14.197999999999999,0.22399999999999998,235.298,512.0,0.8587,0.27241575301166365,1.54,0.33204609734958,1,0.49999999999999994,0.8660254037844387,0.05156910312874981,0.9983731356602549,-0.28176233025987635,0.22469796037174666
2021-01-06,16653.6,5283.2,7.210000000000001,75.0,10.83,590.0,15.839999999999998,4414.6,1.5,125.6,5.4,57.94,4.36,134.16,11.04,2017.8399999999997,7.314,21.248,8.156,1.598,0.166,14.046000000000001,0.22799999999999998,229.02200000000002,512.0,0.8587,0.27241482828394,1.54,0.33196324211076067,1,0.49999999999999994,0.8660254037844387,0.06873506385373346,0.997338348506973,-2.2204460492503132e-17,0.3603875471609676
2021-01-07,17487.8,5547.8,7.05,75.0,10.59,620.0,16.580000000000002,4463.2,1.5,129.0,5.0,58.160000000000004,4.3,126.84,10.98,2012.2599999999998,7.3420000000000005,21.08,8.264,1.5879999999999999,0.17400000000000002,13.924000000000001,0.2,239.802,512.0,0.8587,0.27241300652929623,1.54,0.3319479295160481,1,0.49999999999999994,0.8660254037844387,0.08588068476748197,0.996008432890737,0.2817623302598763,0.22469796037174677
2021-01-08,17835.8,5658.2,6.459999999999999,75.0,9.7,635.0,16.919999999999998,4444.4,1.5,131.2,5.0,54.239999999999995,4.42,116.55999999999999,11.120000000000001,1881.3799999999999,7.33,20.881999999999998,8.26,1.574,0.16599999999999998,13.7,0.188,240.946,512.0,0.8587,0.27241282050600973,1.54,0.3323518441071617,1,0.49999999999999994,0.8660254037844387,0.1030008922049204,0.9943837823549737,0.35135187892997066,-0.08019377358048378
2021-01-09,16981.0,5387.0,5.42,75.0,8.14,600.0,16.080000000000002,4414.8,1.5,135.0,4.9,54.980000000000004,4.42,124.6,11.120000000000001,1911.0399999999997,7.336,21.474,8.096,1.6440000000000001,0.174,14.186000000000002,0.2,236.06199999999998,512.0,0.8587,0.2724103594013124,1.54,0.33177961487793184,1,0.49999999999999994,0.8660254037844387,0.12009062002123039,0.9924648776599149,0.15636629649360598,-0.3246979603717467
2021-01-10,15713.4,4984.8,5.180000000000001,75.0,7.779999999999999,555.0,14.939999999999998,4407.2,1.5,136.6,4.6,56.379999999999995,4.24,129.72,11.22,1845.9599999999998,7.376,21.982,8.112,1.67,0.16599999999999998,14.472,0.188,223.57799999999997,512.0,0.8587,0.27240646078871594,1.54,0.33178752371341325,1,0.49999999999999994,0.8660254037844387,0.13714481109100382,0.990252286640332,-0.15636629649360595,-0.32469796037174675
